COMPANY NAME,FIELD,RATINGS,LOCATION,REVIEW,SALARY,JOB
TCS,IT Services & Consulting ,3.3,Bengaluru,1.1L,9.9L,3.3k
Accenture,IT Services & Consulting ,3.7,Bengaluru,72.3k,6.6L,27.6k
Wipro,IT Services & Consulting ,3.6,Hyderabad,64.3k,4.8L,434
Cognizant,IT Services & Consulting ,3.7,Hyderabad,60.6k,6L,471
Capgemini,IT Services & Consulting ,3.7,Bengaluru,52.3k,4.8L,2.7k
HDFC Bank,Banking ,3.8,Mumbai,51.4k,1.5L,374
Infosys,IT Services & Consulting ,3.5,Bengaluru,48.1k,5.2L,2.4k
ICICI Bank,Banking ,3.9,Mumbai,45.4k,1.5L,15
HCLTech,IT Services & Consulting ,3.4,Chennai,45.3k,3.8L,269
Tech Mahindra,IT Services & Consulting ,3.4,Hyderabad,42.8k,2.8L,659
Genpact,Analytics & KPO ,3.6,Hyderabad,41.5k,2.3L,849
TP,BPO ,3.8,Mumbai,37.6k,97.4k,2k
Jio,Telecom ,4.4,Mumbai,33.4k,62.5k,1
Axis Bank,Banking ,3.6,Mumbai,32.7k,1L,225
Concentrix Corporation,BPO ,3.6,Bengaluru,31.8k,1.3L,48
Amazon,Internet ,3.9,Bengaluru,31.1k,1.5L,2k
iEnergizer,BPO ,4.6,Noida,27.2k,24.4k,99
Reliance Retail,Retail ,3.9,Mumbai,27.1k,77k,132
LTIMindtree,IT Services & Consulting ,3.6,Bengaluru,26.1k,1.9L,373
IBM,IT Services & Consulting ,3.9,Bengaluru,25.5k,2.1L,1.7k
HDB Financial Services,NBFC ,3.9,Mumbai,25.4k,49.4k,2k
Larsen & Toubro Limited,Engineering & Construction ,3.9,Chennai,23.6k,75k,77
Deloitte,Management Consulting ,3.7,Hyderabad,22.8k,2.5L,1.6k
Kotak Mahindra Bank,Banking ,3.6,Mumbai,22.2k,87.2k,149
Reliance Industries,Oil & Gas ,4.0,Jamnagar,20k,72.9k,82
Vodafone Idea,Telecom ,3.9,Pune,17.5k,49.6k,61
Bharti Airtel,Telecom ,3.8,Gurugram,17k,49.7k,179
BYJU'S,EdTech ,3.2,Bengaluru,16.4k,53.4k,1
WNS,IT Services & Consulting ,3.3,Pune,15k,69.9k,97
IDFC FIRST Bank,Banking ,3.9,Mumbai,14.3k,49.2k,42
Ernst & Young,Management Consulting ,3.4,Bengaluru,14.3k,1.4L,2.8k
Tata Motors,Automobile ,4.1,Pune,14.1k,42.9k,159
IndusInd Bank,Banking ,3.4,Mumbai,14k,52.1k,94
AU Small Finance Bank,Banking ,3.9,Jaipur,14k,29.3k,212
Muthoot FinCorp,NBFC ,4.6,Bengaluru,13.1k,9.2k,10
Bajaj Finserv,NBFC ,3.9,Pune,12.9k,30.6k,11
Flipkart,Internet ,3.9,Bengaluru,12.8k,54.8k,140
PwC,Management Consulting ,3.3,Bengaluru,12.3k,1.2L,1k
Mahindra & Mahindra,Automobile ,4.0,Pune,11.9k,40.3k,2
Infosys BPM,BPO ,3.5,Bengaluru,11.9k,74.5k,62
DXC Technology,IT Services & Consulting ,3.6,Bengaluru,11.9k,71.9k,216
HDFC Life,Insurance ,3.9,Mumbai,11.9k,32.9k,99
Bandhan Bank,Banking ,3.7,Kolkata,10.9k,25k,32
Digitide Solutions,IT Services & Consulting ,3.5,Hyderabad,10.2k,26.7k,333
Mphasis,IT Services & Consulting ,3.3,Bengaluru,10.1k,74k,40
Yes Bank,Banking ,3.7,Mumbai,10.1k,43.1k,195
Tata Steel,Iron & Steel ,4.0,Jamshedpur,9.8k,34.4k,--
Quess,Recruitment ,3.8,Bengaluru,9.6k,31.2k,41
Maruti Suzuki,Automobile ,4.2,Gurugram,9.5k,28.7k,777
Asian Paints,Chemicals ,3.9,Mumbai,9.5k,25.7k,69
Startek,BPO ,3.1,Bengaluru,9.4k,24.6k,203
UltraTech Cement,Building Material ,4.1,Mumbai,9.3k,24.6k,25
Paytm,FinTech ,3.2,Noida,9.2k,34.4k,258
Bajaj Finance,NBFC ,3.9,Pune,9k,22.8k,6.7k
Shriram Finance,NBFC ,4.0,Chennai,9k,15k,16
Sutherland Global Services,BPO ,3.4,Chennai,8.9k,35.1k,236
Equitas Small Finance Bank,Banking ,4.4,Chennai,8.8k,13.4k,25
Cipla,Pharma ,4.1,Mumbai,8.5k,26.3k,75
EXL Service,Analytics & KPO ,3.6,Noida,8.5k,44.5k,233
Wells Fargo,Financial Services ,3.6,Bengaluru,8.5k,56.9k,455
Ericsson,Telecom ,3.9,Noida,8.3k,42.4k,40
Samsung,Consumer Electronics & Appliances ,3.9,Noida,8.3k,26.5k,18
Dr. Reddy's,Pharma ,4.0,Hyderabad,8.1k,26k,11
Optum Global Solutions,IT Services & Consulting ,4.0,Hyderabad,7.8k,49.7k,108
JPMorgan Chase & Co.,Financial Services ,3.8,Bengaluru,7.7k,88.3k,970
JSW Steel,Iron & Steel ,3.9,Ballari,7.7k,31.4k,130
Delhivery,Logistics ,3.8,Gurugram,7.7k,21.4k,179
ICICI Prudential Life Insurance,Insurance ,3.9,Mumbai,7.7k,23.4k,207
Hexaware Technologies,IT Services & Consulting ,3.4,Chennai,7.6k,54.1k,497
HGS,BPO ,3.7,Bengaluru,7.5k,20.6k,16
Jana Small Finance Bank,Banking ,3.8,Bengaluru,7.5k,14.2k,37
Ujjivan Small Finance Bank,Banking ,4.0,Bengaluru,7.5k,13.3k,592
Sun Pharmaceutical Industries,Pharma ,4.1,Vadodara,7.5k,23.3k,365
Amazon Development Centre India,Internet ,3.8,Hyderabad,7.5k,38.5k,4
Lupin,Pharma ,4.1,Pune,7.3k,22.5k,19
Ekart Logistics,Logistics ,3.9,Bengaluru,7.3k,16.2k,--
Zydus Lifesciences,Pharma ,4.0,Ahmedabad,7.3k,20k,48
L&T Construction,Engineering & Construction ,4.0,Chennai,7.3k,19.2k,--
Hindustan Unilever,FMCG ,4.2,Mumbai,7.2k,20.5k,51
KPMG India,Management Consulting ,3.4,Bengaluru,7.1k,66k,67
ITC,FMCG ,3.9,Bengaluru,7.1k,24.9k,88
Axis Max Life Insurance,Insurance ,4.0,New Delhi,7.1k,20.3k,151
Megha Engineering & Infrastructures,Engineering & Construction ,3.9,Hyderabad,6.8k,18.6k,33
Tata Projects,Engineering & Construction ,4.2,Mumbai,6.8k,22.6k,52
Coforge,IT Services & Consulting ,3.3,Noida,6.7k,50.1k,169
Bajaj Life Insurance,Insurance ,3.8,Pune,6.5k,17.3k,63
Cholamandalam Investment & Finance,Financial Services ,3.8,Chennai,6.5k,12.7k,31
L&T Technology Services,IT Services & Consulting ,3.1,Bengaluru,6.5k,43.4k,--
FIS,FinTech ,3.8,Pune,6.5k,39k,116
Oracle,Software Product ,3.5,Bengaluru,6.3k,63.3k,119
Omega Healthcare,BPO ,3.8,Chennai,6.3k,26.9k,160
Muthoot Finance,NBFC ,3.7,Bengaluru,6.3k,12.9k,115
IIFL Finance,NBFC ,4.0,Mumbai,6.3k,14k,67
JLL,Real Estate ,4.1,Gurugram,6.3k,24.4k,381
Indian Army,Defence & Aerospace ,4.7,New Delhi,6.2k,9.4k,--
eClerx,IT Services & Consulting ,3.1,Pune,6.2k,32.5k,642
HCL Group,IT Services & Consulting ,3.5,Chennai,6.1k,39.3k,--
DMart,Retail ,3.9,Mumbai,6k,18.4k,205
Virtusa Consulting Services,IT Services & Consulting ,3.7,Hyderabad,6k,57k,1.2k
Piramal Finance,NBFC ,4.2,Mumbai,6k,12.3k,7
Indiamart Intermesh,Internet ,3.5,Noida,5.9k,21.5k,168
HSBC Group,Financial Services ,3.9,Bengaluru,5.9k,43.9k,127
PolicyBazaar,Internet ,3.8,Gurugram,5.9k,17.5k,717
SMFG India Credit,NBFC ,3.9,Mumbai,5.8k,11k,57
Access Healthcare,BPO ,3.7,Chennai,5.8k,28.8k,1.8k
BigBasket,Internet ,3.9,Bengaluru,5.8k,19.3k,77
Siemens,Industrial Automation ,3.9,Bengaluru,5.7k,34.1k,82
Aurobindo Pharma,Pharma ,4.0,Hyderabad,5.7k,20.7k,23
Udaan,Internet ,3.9,Bengaluru,5.7k,15.7k,8
GlobalLogic,IT Services & Consulting ,3.5,Hyderabad,5.7k,41.1k,34
Manappuram Finance,NBFC ,3.9,Bengaluru,5.7k,9.2k,13
Firstsource Solutions,BPO ,3.5,Bengaluru,5.7k,24.6k,163
ICICI Lombard General Insurance Company,Insurance ,3.5,Mumbai,5.7k,20.3k,214
Tata Capital,NBFC ,4.0,Mumbai,5.7k,15.9k,4.8k
Shapoorji Pallonji Group,Engineering & Construction ,4.1,Mumbai,5.6k,15.4k,66
Standard Chartered,Banking ,3.6,Chennai,5.6k,42.2k,--
